dataset,split,epoch,accuracy,accuracy_percent,plotted_as_test_marker
Raw Pressure,Train,56,0.3948051948,39.48051948,False
Raw Pressure,Train,57,0.4408163265,44.08163265,False
Raw Pressure,Train,58,0.4348794063,43.48794063,False
Raw Pressure,Train,59,0.4094619666,40.94619666,False
Raw Pressure,Train,60,0.4298701299,42.98701299,False
Raw Pressure,Train,61,0.4324675325,43.24675325,False
Raw Pressure,Train,62,0.4545454545,45.45454545,False
Raw Pressure,Train,63,0.4432282004,44.32282004,False
Raw Pressure,Train,64,0.3990723562,39.90723562,False
Raw Pressure,Train,65,0.4276437848,42.76437848,False
Raw Pressure,Train,66,0.4222634508,42.22634508,False
Raw Pressure,Train,67,0.4419294991,44.19294991,False
Raw Pressure,Train,68,0.4571428571,45.71428571,False
Raw Pressure,Train,69,0.4666048237,46.66048237,False
Raw Pressure,Train,70,0.4582560297,45.82560297,False
Raw Pressure,Train,71,0.4521335807,45.21335807,False
Raw Pressure,Train,72,0.4619666048,46.19666048,False
Raw Pressure,Train,73,0.4512059369,45.12059369,False
Raw Pressure,Train,74,0.4614100186,46.14100186,False
Raw Pressure,Train,75,0.46716141,46.716141,False
Raw Pressure,Train,76,0.4692022263,46.92022263,False
Raw Pressure,Train,77,0.4632653061,46.32653061,False
Raw Pressure,Train,78,0.4710575139,47.10575139,False
Raw Pressure,Train,79,0.480890538,48.0890538,False
Raw Pressure,Train,80,0.4833024119,48.33024119,False
Raw Pressure,Train,81,0.480890538,48.0890538,False
Raw Pressure,Train,82,0.4860853432,48.60853432,False
Raw Pressure,Train,83,0.480890538,48.0890538,False
Raw Pressure,Train,84,0.4894248609,48.94248609,False
Raw Pressure,Train,85,0.492393321,49.2393321,False
Raw Pressure,Train,86,0.5077922078,50.77922078,False
Raw Pressure,Train,87,0.5055658627,50.55658627,False
Raw Pressure,Train,88,0.493877551,49.3877551,False
Raw Pressure,Train,89,0.505380334,50.5380334,False
Raw Pressure,Train,90,0.5024118738,50.24118738,False
Raw Pressure,Train,91,0.5024118738,50.24118738,False
Raw Pressure,Train,92,0.5011131725,50.11131725,False
Raw Pressure,Train,93,0.5079777365,50.79777365,False
Raw Pressure,Train,94,0.5098330241,50.98330241,False
Raw Pressure,Train,95,0.5064935065,50.64935065,False
Raw Pressure,Train,96,0.4979591837,49.79591837,False
Raw Pressure,Train,97,0.5092764378,50.92764378,False
Raw Pressure,Train,98,0.5096474954,50.96474954,False
Raw Pressure,Train,99,0.5103896104,51.03896104,False
Raw Pressure,Train,100,0.5118738404,51.18738404,False
Raw Pressure,Val,1,0.02770562771,2.770562771,False
Raw Pressure,Val,2,0.04848484848,4.848484848,False
Raw Pressure,Val,3,0.08917748918,8.917748918,False
Raw Pressure,Val,4,0.1783549784,17.83549784,False
Raw Pressure,Val,5,0.1930735931,19.30735931,False
Raw Pressure,Val,6,0.1965367965,19.65367965,False
Raw Pressure,Val,7,0.2770562771,27.70562771,False
Raw Pressure,Val,8,0.2536796537,25.36796537,False
Raw Pressure,Val,9,0.2718614719,27.18614719,False
Raw Pressure,Val,10,0.3722943723,37.22943723,False
Raw Pressure,Val,11,0.3722943723,37.22943723,False
Raw Pressure,Val,12,0.3445887446,34.45887446,False
Raw Pressure,Val,13,0.3948051948,39.48051948,False
Raw Pressure,Val,14,0.4043290043,40.43290043,False
Raw Pressure,Val,15,0.3904761905,39.04761905,False
Raw Pressure,Val,16,0.4294372294,42.94372294,False
Raw Pressure,Val,17,0.4770562771,47.70562771,False
Raw Pressure,Val,18,0.4727272727,47.27272727,False
Raw Pressure,Val,19,0.4813852814,48.13852814,False
Raw Pressure,Val,20,0.4883116883,48.83116883,False
Raw Pressure,Val,21,0.4909090909,49.09090909,False
Raw Pressure,Val,22,0.4606060606,46.06060606,False
Raw Pressure,Val,23,0.4857142857,48.57142857,False
Raw Pressure,Val,24,0.5073593074,50.73593074,False
Raw Pressure,Val,25,0.5151515152,51.51515152,False
Raw Pressure,Val,26,0.4623376623,46.23376623,False
Raw Pressure,Val,27,0.4796536797,47.96536797,False
Raw Pressure,Val,28,0.4796536797,47.96536797,False
Raw Pressure,Val,29,0.5047619048,50.47619048,False
Raw Pressure,Val,30,0.4528138528,45.28138528,False
Raw Pressure,Val,31,0.4597402597,45.97402597,False
Raw Pressure,Val,32,0.5445887446,54.45887446,False
Raw Pressure,Val,33,0.4277056277,42.77056277,False
Raw Pressure,Val,34,0.5229437229,52.29437229,False
Raw Pressure,Val,35,0.3800865801,38.00865801,False
Raw Pressure,Val,36,0.3792207792,37.92207792,False
Raw Pressure,Val,37,0.4207792208,42.07792208,False
Raw Pressure,Val,38,0.4225108225,42.25108225,False
Raw Pressure,Val,39,0.4683982684,46.83982684,False
Raw Pressure,Val,40,0.4883116883,48.83116883,False
Raw Pressure,Val,41,0.3722943723,37.22943723,False
Raw Pressure,Val,42,0.4303030303,43.03030303,False
Raw Pressure,Val,43,0.4458874459,44.58874459,False
Raw Pressure,Val,44,0.4666666667,46.66666667,False
Raw Pressure,Val,45,0.4692640693,46.92640693,False
Raw Pressure,Val,46,0.412987013,41.2987013,False
Raw Pressure,Val,47,0.4354978355,43.54978355,False
Raw Pressure,Val,48,0.4467532468,44.67532468,False
Raw Pressure,Val,49,0.3645021645,36.45021645,False
Raw Pressure,Val,50,0.4857142857,48.57142857,False
Raw Pressure,Val,51,0.5281385281,52.81385281,False
Raw Pressure,Val,52,0.5584415584,55.84415584,False
Raw Pressure,Val,53,0.5229437229,52.29437229,False
Raw Pressure,Val,54,0.5575757576,55.75757576,False
Raw Pressure,Val,55,0.3922077922,39.22077922,False
Raw Pressure,Val,56,0.5376623377,53.76623377,False
Raw Pressure,Val,57,0.4917748918,49.17748918,False
Raw Pressure,Val,58,0.5497835498,54.97835498,False
Raw Pressure,Val,59,0.5246753247,52.46753247,False
Raw Pressure,Val,60,0.5445887446,54.45887446,False
Raw Pressure,Val,61,0.516017316,51.6017316,False
Raw Pressure,Val,62,0.5731601732,57.31601732,False
Raw Pressure,Val,63,0.4233766234,42.33766234,False
Raw Pressure,Val,64,0.4822510823,48.22510823,False
Raw Pressure,Val,65,0.5281385281,52.81385281,False
Raw Pressure,Val,66,0.5047619048,50.47619048,False
Raw Pressure,Val,67,0.5393939394,53.93939394,False
Raw Pressure,Val,68,0.5454545455,54.54545455,False
Raw Pressure,Val,69,0.5662337662,56.62337662,False
Raw Pressure,Val,70,0.5073593074,50.73593074,False
Raw Pressure,Val,71,0.5731601732,57.31601732,False
Raw Pressure,Val,72,0.4484848485,44.84848485,False
Raw Pressure,Val,73,0.5316017316,53.16017316,False
Raw Pressure,Val,74,0.5489177489,54.89177489,False
Raw Pressure,Val,75,0.554978355,55.4978355,False
Raw Pressure,Val,76,0.5298701299,52.98701299,False
Raw Pressure,Val,77,0.5670995671,56.70995671,False
Raw Pressure,Val,78,0.5593073593,55.93073593,False
Raw Pressure,Val,79,0.5480519481,54.80519481,False
Raw Pressure,Val,80,0.5878787879,58.78787879,False
Raw Pressure,Val,81,0.5913419913,59.13419913,False
Raw Pressure,Val,82,0.5991341991,59.91341991,False
Raw Pressure,Val,83,0.5670995671,56.70995671,False
Raw Pressure,Val,84,0.5922077922,59.22077922,False
Raw Pressure,Val,85,0.619047619,61.9047619,False
Raw Pressure,Val,86,0.6060606061,60.60606061,False
Raw Pressure,Val,87,0.6233766234,62.33766234,False
Raw Pressure,Val,88,0.6008658009,60.08658009,False
Raw Pressure,Val,89,0.6225108225,62.25108225,False
Raw Pressure,Val,90,0.6251082251,62.51082251,False
Raw Pressure,Val,91,0.6251082251,62.51082251,False
Raw Pressure,Val,92,0.6294372294,62.94372294,False
Raw Pressure,Val,93,0.6060606061,60.60606061,False
Raw Pressure,Val,94,0.6199134199,61.99134199,False
Raw Pressure,Val,95,0.6268398268,62.68398268,False
Raw Pressure,Val,96,0.6432900433,64.32900433,False
Raw Pressure,Val,97,0.6121212121,61.21212121,False
Raw Pressure,Val,98,0.625974026,62.5974026,False
Raw Pressure,Val,99,0.6225108225,62.25108225,False
Raw Pressure,Val,100,0.6363636364,63.63636364,False
Raw Pressure,Test,96,0.6077922078,60.77922078,True
