dataset,split,epoch,loss,accuracy,accuracy_percent,plotted_as_test_marker
Raw Pressure,Train,78,1.728389705,0.4710575139,47.10575139,False
Raw Pressure,Train,79,1.686171947,0.480890538,48.0890538,False
Raw Pressure,Train,80,1.710799078,0.4833024119,48.33024119,False
Raw Pressure,Train,81,1.663482723,0.480890538,48.0890538,False
Raw Pressure,Train,82,1.670824878,0.4860853432,48.60853432,False
Raw Pressure,Train,83,1.671659395,0.480890538,48.0890538,False
Raw Pressure,Train,84,1.658190805,0.4894248609,48.94248609,False
Raw Pressure,Train,85,1.650320327,0.492393321,49.2393321,False
Raw Pressure,Train,86,1.596016748,0.5077922078,50.77922078,False
Raw Pressure,Train,87,1.620811833,0.5055658627,50.55658627,False
Raw Pressure,Train,88,1.631712554,0.493877551,49.3877551,False
Raw Pressure,Train,89,1.622084626,0.505380334,50.5380334,False
Raw Pressure,Train,90,1.622302586,0.5024118738,50.24118738,False
Raw Pressure,Train,91,1.621124007,0.5024118738,50.24118738,False
Raw Pressure,Train,92,1.612153945,0.5011131725,50.11131725,False
Raw Pressure,Train,93,1.608543925,0.5079777365,50.79777365,False
Raw Pressure,Train,94,1.58779007,0.5098330241,50.98330241,False
Raw Pressure,Train,95,1.619160374,0.5064935065,50.64935065,False
Raw Pressure,Train,96,1.607405388,0.4979591837,49.79591837,False
Raw Pressure,Train,97,1.57701074,0.5092764378,50.92764378,False
Raw Pressure,Train,98,1.60130468,0.5096474954,50.96474954,False
Raw Pressure,Train,99,1.587079118,0.5103896104,51.03896104,False
Raw Pressure,Train,100,1.588895814,0.5118738404,51.18738404,False
Raw Pressure,Val,1,3.55526921,0.02770562771,2.770562771,False
Raw Pressure,Val,2,3.554032231,0.04848484848,4.848484848,False
Raw Pressure,Val,3,3.449153434,0.08917748918,8.917748918,False
Raw Pressure,Val,4,2.94113146,0.1783549784,17.83549784,False
Raw Pressure,Val,5,2.892472859,0.1930735931,19.30735931,False
Raw Pressure,Val,6,2.83559211,0.1965367965,19.65367965,False
Raw Pressure,Val,7,2.620740962,0.2770562771,27.70562771,False
Raw Pressure,Val,8,2.520664443,0.2536796537,25.36796537,False
Raw Pressure,Val,9,2.545950648,0.2718614719,27.18614719,False
Raw Pressure,Val,10,2.206987072,0.3722943723,37.22943723,False
Raw Pressure,Val,11,2.231850945,0.3722943723,37.22943723,False
Raw Pressure,Val,12,2.253231111,0.3445887446,34.45887446,False
Raw Pressure,Val,13,2.11251691,0.3948051948,39.48051948,False
Raw Pressure,Val,14,2.080084255,0.4043290043,40.43290043,False
Raw Pressure,Val,15,2.066714861,0.3904761905,39.04761905,False
Raw Pressure,Val,16,1.970230908,0.4294372294,42.94372294,False
Raw Pressure,Val,17,1.833234197,0.4770562771,47.70562771,False
Raw Pressure,Val,18,1.823493304,0.4727272727,47.27272727,False
Raw Pressure,Val,19,1.780066288,0.4813852814,48.13852814,False
Raw Pressure,Val,20,1.813428369,0.4883116883,48.83116883,False
Raw Pressure,Val,21,1.694079537,0.4909090909,49.09090909,False
Raw Pressure,Val,22,1.764855798,0.4606060606,46.06060606,False
Raw Pressure,Val,23,1.716256701,0.4857142857,48.57142857,False
Raw Pressure,Val,24,1.672071475,0.5073593074,50.73593074,False
Raw Pressure,Val,25,1.665092858,0.5151515152,51.51515152,False
Raw Pressure,Val,26,1.824647846,0.4623376623,46.23376623,False
Raw Pressure,Val,27,1.783033178,0.4796536797,47.96536797,False
Raw Pressure,Val,28,1.745357101,0.4796536797,47.96536797,False
Raw Pressure,Val,29,1.643483242,0.5047619048,50.47619048,False
Raw Pressure,Val,30,1.892733064,0.4528138528,45.28138528,False
Raw Pressure,Val,31,1.795896746,0.4597402597,45.97402597,False
Raw Pressure,Val,32,1.501493697,0.5445887446,54.45887446,False
Raw Pressure,Val,33,1.953779846,0.4277056277,42.77056277,False
Raw Pressure,Val,34,1.605980177,0.5229437229,52.29437229,False
Raw Pressure,Val,35,2.157164418,0.3800865801,38.00865801,False
Raw Pressure,Val,36,2.171188658,0.3792207792,37.92207792,False
Raw Pressure,Val,37,1.978448618,0.4207792208,42.07792208,False
Raw Pressure,Val,38,1.926868997,0.4225108225,42.25108225,False
Raw Pressure,Val,39,1.768000774,0.4683982684,46.83982684,False
Raw Pressure,Val,40,1.720982037,0.4883116883,48.83116883,False
Raw Pressure,Val,41,2.212762108,0.3722943723,37.22943723,False
Raw Pressure,Val,42,1.950539435,0.4303030303,43.03030303,False
Raw Pressure,Val,43,1.904494935,0.4458874459,44.58874459,False
