true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
Q,4,0,33,0,0
Q,5,1,33,0.0303030303,3.03030303
Q,6,1,33,0.0303030303,3.03030303
Q,7,0,33,0,0
Q,8,0,33,0,0
Q,9,0,33,0,0
R,A,4,33,0.1212121212,12.12121212
R,B,2,33,0.06060606061,6.060606061
R,C,0,33,0,0
R,D,0,33,0,0
R,E,0,33,0,0
R,F,0,33,0,0
R,G,0,33,0,0
R,H,0,33,0,0
R,I,0,33,0,0
R,J,0,33,0,0
R,K,7,33,0.2121212121,21.21212121
R,L,1,33,0.0303030303,3.03030303
R,M,5,33,0.1515151515,15.15151515
R,N,1,33,0.0303030303,3.03030303
R,O,0,33,0,0
R,P,1,33,0.0303030303,3.03030303
R,Q,0,33,0,0
R,R,11,33,0.3333333333,33.33333333
R,S,0,33,0,0
R,T,0,33,0,0
R,U,0,33,0,0
R,V,0,33,0,0
R,W,0,33,0,0
R,X,0,33,0,0
R,Y,0,33,0,0
R,Z,0,33,0,0
R,1,0,33,0,0
R,2,0,33,0,0
R,3,0,33,0,0
R,4,1,33,0.0303030303,3.03030303
R,5,0,33,0,0
R,6,0,33,0,0
R,7,0,33,0,0
R,8,0,33,0,0
R,9,0,33,0,0
S,A,0,33,0,0
S,B,0,33,0,0
S,C,0,33,0,0
S,D,0,33,0,0
S,E,1,33,0.0303030303,3.03030303
S,F,0,33,0,0
S,G,3,33,0.09090909091,9.090909091
S,H,0,33,0,0
S,I,0,33,0,0
S,J,3,33,0.09090909091,9.090909091
S,K,0,33,0,0
S,L,0,33,0,0
S,M,0,33,0,0
S,N,0,33,0,0
S,O,1,33,0.0303030303,3.03030303
S,P,0,33,0,0
S,Q,1,33,0.0303030303,3.03030303
S,R,0,33,0,0
S,S,15,33,0.4545454545,45.45454545
S,T,0,33,0,0
S,U,0,33,0,0
S,V,0,33,0,0
S,W,0,33,0,0
S,X,0,33,0,0
S,Y,0,33,0,0
S,Z,1,33,0.0303030303,3.03030303
S,1,1,33,0.0303030303,3.03030303
S,2,3,33,0.09090909091,9.090909091
S,3,4,33,0.1212121212,12.12121212
S,4,0,33,0,0
S,5,0,33,0,0
S,6,0,33,0,0
S,7,0,33,0,0
S,8,0,33,0,0
S,9,0,33,0,0
T,A,0,33,0,0
T,B,0,33,0,0
T,C,0,33,0,0
T,D,0,33,0,0
T,E,0,33,0,0
T,F,0,33,0,0
T,G,0,33,0,0
T,H,0,33,0,0
T,I,0,33,0,0
T,J,0,33,0,0
T,K,0,33,0,0
T,L,0,33,0,0
T,M,0,33,0,0
T,N,0,33,0,0
T,O,0,33,0,0
T,P,0,33,0,0
T,Q,0,33,0,0
T,R,0,33,0,0
T,S,0,33,0,0
T,T,26,33,0.7878787879,78.78787879
T,U,0,33,0,0
T,V,0,33,0,0
T,W,0,33,0,0
T,X,0,33,0,0
T,Y,2,33,0.06060606061,6.060606061
T,Z,0,33,0,0
T,1,0,33,0,0
T,2,0,33,0,0
T,3,0,33,0,0
T,4,1,33,0.0303030303,3.03030303
T,5,0,33,0,0
T,6,0,33,0,0
T,7,4,33,0.1212121212,12.12121212
T,8,0,33,0,0
T,9,0,33,0,0
U,A,0,33,0,0
U,B,0,33,0,0
U,C,0,33,0,0
U,D,0,33,0,0
U,E,0,33,0,0
U,F,0,33,0,0
U,G,0,33,0,0
U,H,0,33,0,0
U,I,0,33,0,0
U,J,0,33,0,0
U,K,0,33,0,0
U,L,1,33,0.0303030303,3.03030303
U,M,0,33,0,0
U,N,0,33,0,0
U,O,0,33,0,0
U,P,0,33,0,0
U,Q,1,33,0.0303030303,3.03030303
U,R,0,33,0,0
U,S,0,33,0,0
U,T,0,33,0,0
U,U,24,33,0.7272727273,72.72727273
U,V,1,33,0.0303030303,3.03030303
U,W,4,33,0.1212121212,12.12121212
U,X,1,33,0.0303030303,3.03030303
U,Y,0,33,0,0
U,Z,0,33,0,0
U,1,0,33,0,0
U,2,0,33,0,0
U,3,0,33,0,0
U,4,0,33,0,0
U,5,0,33,0,0
U,6,1,33,0.0303030303,3.03030303
U,7,0,33,0,0
U,8,0,33,0,0
U,9,0,33,0,0
V,A,0,33,0,0
V,B,0,33,0,0
V,C,0,33,0,0
V,D,0,33,0,0
V,E,0,33,0,0
V,F,1,33,0.0303030303,3.03030303
V,G,0,33,0,0
V,H,0,33,0,0
V,I,0,33,0,0
V,J,0,33,0,0
V,K,0,33,0,0
V,L,0,33,0,0
V,M,0,33,0,0
V,N,0,33,0,0
V,O,0,33,0,0
V,P,0,33,0,0
V,Q,0,33,0,0
V,R,0,33,0,0
V,S,0,33,0,0
V,T,0,33,0,0
V,U,1,33,0.0303030303,3.03030303
V,V,25,33,0.7575757576,75.75757576
V,W,3,33,0.09090909091,9.090909091
V,X,0,33,0,0
V,Y,2,33,0.06060606061,6.060606061
V,Z,0,33,0,0
V,1,0,33,0,0
V,2,0,33,0,0
V,3,0,33,0,0
V,4,0,33,0,0
V,5,0,33,0,0
V,6,0,33,0,0
V,7,1,33,0.0303030303,3.03030303
V,8,0,33,0,0
V,9,0,33,0,0
W,A,0,33,0,0
W,B,0,33,0,0
W,C,0,33,0,0
W,D,1,33,0.0303030303,3.03030303
W,E,0,33,0,0
W,F,0,33,0,0
W,G,0,33,0,0
W,H,2,33,0.06060606061,6.060606061
W,I,0,33,0,0
