dataset,split,epoch,loss,plotted_as_test_marker
Raw Pressure,Val,44,1.864317421,False
Raw Pressure,Val,45,1.765075948,False
Raw Pressure,Val,46,2.05745337,False
Raw Pressure,Val,47,1.870246973,False
Raw Pressure,Val,48,1.821491562,False
Raw Pressure,Val,49,2.264145783,False
Raw Pressure,Val,50,1.759955864,False
Raw Pressure,Val,51,1.542687196,False
Raw Pressure,Val,52,1.538252397,False
Raw Pressure,Val,53,1.620972314,False
Raw Pressure,Val,54,1.497266999,False
Raw Pressure,Val,55,2.126647262,False
Raw Pressure,Val,56,1.566319057,False
Raw Pressure,Val,57,1.692460916,False
Raw Pressure,Val,58,1.503044888,False
Raw Pressure,Val,59,1.619982329,False
Raw Pressure,Val,60,1.558430355,False
Raw Pressure,Val,61,1.662718775,False
Raw Pressure,Val,62,1.487542275,False
Raw Pressure,Val,63,1.960476064,False
Raw Pressure,Val,64,1.771227023,False
Raw Pressure,Val,65,1.590056395,False
Raw Pressure,Val,66,1.664540741,False
Raw Pressure,Val,67,1.549644781,False
Raw Pressure,Val,68,1.539646429,False
Raw Pressure,Val,69,1.485641361,False
Raw Pressure,Val,70,1.615714413,False
Raw Pressure,Val,71,1.473194416,False
Raw Pressure,Val,72,1.926193647,False
Raw Pressure,Val,73,1.535189648,False
Raw Pressure,Val,74,1.537024296,False
Raw Pressure,Val,75,1.52812035,False
Raw Pressure,Val,76,1.592562272,False
Raw Pressure,Val,77,1.450835468,False
Raw Pressure,Val,78,1.434699781,False
Raw Pressure,Val,79,1.416872865,False
Raw Pressure,Val,80,1.385517599,False
Raw Pressure,Val,81,1.431362136,False
Raw Pressure,Val,82,1.378557689,False
Raw Pressure,Val,83,1.455491579,False
Raw Pressure,Val,84,1.378905404,False
Raw Pressure,Val,85,1.347535342,False
Raw Pressure,Val,86,1.359258003,False
Raw Pressure,Val,87,1.339659852,False
Raw Pressure,Val,88,1.377121593,False
Raw Pressure,Val,89,1.333542702,False
Raw Pressure,Val,90,1.350959124,False
Raw Pressure,Val,91,1.343580158,False
Raw Pressure,Val,92,1.337374442,False
Raw Pressure,Val,93,1.357176572,False
Raw Pressure,Val,94,1.375356805,False
Raw Pressure,Val,95,1.356910554,False
Raw Pressure,Val,96,1.336739042,False
Raw Pressure,Val,97,1.345939762,False
Raw Pressure,Val,98,1.3292156,False
Raw Pressure,Val,99,1.32901606,False
Raw Pressure,Val,100,1.330538927,False
Raw Pressure,Test,96,1.332452842,True
